prov,provname,dist,dname,DISTRICT,dname_connect,dname_s_data
4,Gandaki,43,Nawalparasi (Bardaghat Susta East),NAWALPARASI_E,Nawalparasi (East),Nawalparasi East
4,Gandaki,44,Syangja,SYANGJA,Syangja,Syangja
4,Gandaki,45,Parbat,PARBAT,Parbat,Parbat
4,Gandaki,46,Baglung,BAGLUNG,Baglung,Baglung
5,Lumbini,47,Rukum (East),RUKUM_E,Rukum (East),Rukum East
5,Lumbini,48,Rolpa,ROLPA,Rolpa,Rolpa
5,Lumbini,49,Pyuthan,PYUTHAN,Pyuthan,Pyuthan
5,Lumbini,50,Gulmi,GULMI,Gulmi,Gulmi
5,Lumbini,51,Arghakhanchi,ARGHAKHANCHI,Arghakhanchi,Arghakhanchi
5,Lumbini,52,Palpa,PALPA,Palpa,Palpa
5,Lumbini,53,Nawalparasi (Bardaghat Susta West),NAWALPARASI_W,Nawalparasi (West),Nawalparasi West
5,Lumbini,54,Rupandehi,RUPANDEHI,Rupandehi,Rupandehi
5,Lumbini,55,Kapilbastu,KAPILBASTU,Kapilbastu,Kapilbastu
5,Lumbini,56,Dang,DANG,Dang,Dang
5,Lumbini,57,Banke,BANKE,Banke,Banke
5,Lumbini,58,Bardiya,BARDIYA,Bardiya,Bardiya
6,Karnali,59,Dolpa,DOLPA,Dolpa,Dolpa
6,Karnali,60,Mugu,MUGU,Mugu,Mugu
6,Karnali,61,Humla,HUMLA,Humla,Humla
6,Karnali,62,Jumla,JUMLA,Jumla,Jumla
6,Karnali,63,Kalikot,KALIKOT,Kalikot,Kalikot
6,Karnali,64,Dailekh,DAILEKH,Dailekh,Dailekh
6,Karnali,65,Jajarkot,JAJARKOT,Jajarkot,Jajarkot
6,Karnali,66,Rukum (West),RUKUM_W,Rukum (West),Rukum West
6,Karnali,67,Salyan,SALYAN,Salyan,Salyan
6,Karnali,68,Surkhet,SURKHET,Surkhet,Surkhet
7,Sudurpaschim,69,Bajura,BAJURA,Bajura,Bajura
7,Sudurpaschim,70,Bajhang,BAJHANG,Bajhang,Bajhang
7,Sudurpaschim,71,Darchula,DARCHULA,Darchula,Darchula
7,Sudurpaschim,72,Baitadi,BAITADI,Baitadi,Baitadi
7,Sudurpaschim,73,Dadeldhura,DADELDHURA,Dadeldhura,Dadeldhura
7,Sudurpaschim,74,Doti,DOTI,Doti,Doti
7,Sudurpaschim,75,Achham,ACHHAM,Achham,Achham
7,Sudurpaschim,76,Kailali,KAILALI,Kailali,Kailali
7,Sudurpaschim,77,Kanchanpur,KANCHANPUR,Kanchanpur,Kanchanpur
